;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
2029;CEAPC;;2024-11-09;1109202420240911-13.14.02.081556 -;VIR SEPA MUTUELLE GENERALE EDUC;7.9;OW017P467224017OWRQ67234435GT45 OW06/09/24-4582/4584   
2030;CEAPC;;2024-11-09;1109202420240911-13.13.59.112405 -;VIR SEPA MUTUELLE GENERALE EDUC;9.35;OW033P467224033OWRQ67271829OQ16 OW06/09/24-1663/1663   
2031;CEAPC;;2024-11-09;1109202420240911-13.13.58.473052 -;VIR SEPA MUTUELLE GENERALE EDUC;134.23;TP-20240906-017OWNP67235251 -172 032443-0091007171-6396-   
2032;CEAPC;;2024-11-09;1109202420240911-13.13.56.626444 -;VIR SEPA MUTUELLE GENERALE EDUC;182.89;TP-20240906-079OWNP67205866 -172 032443-0091007791-6396-   
2033;CEAPC;;2024-11-09;1109202420240911-13.13.55.664142 -;VIR SEPA VIAMEDIS;170.54;TP-20240905-VIREMENT 5439009 -172032443-0075990010-6396-   
2034;CEAPC;;2024-11-09;1109202420240911-13.13.54.362376 -;VIR SEPA MUTUELLE GENERALE EDUC;17.36;TP-20240906-033OWNP67274109 -172 032443-0091007331-6396-   
2035;CEAPC;;2024-11-09;1109202420240911-13.13.50.829968 -;VIR SEPA MUTUELLE GENERALE EDUC;18.74;TP-20240906-044OWNP67205872 -172 032443-0091007441-6396-   
2036;CEAPC;;2024-11-09;1109202420240911-10.46.07.149409 -;VIR SEPA C.P.A.M. BLOIS;10.16;0000001720324432535051240910    
2037;CEAPC;;2024-11-09;1109202420240911-10.45.59.385717 -;VIR SEPA C.P.A.M. RENNES;2.95;0000001720324432537401240910    
2038;CEAPC;;2024-11-09;1109202420240911-09.35.22.367541 -;VIR SEPA MESE;9.39;MESE    
2039;CEAPC;;2024-11-09;1109202420240911-09.35.14.063122 -;VIR SEPA MUTUELLE GENERALE EDUC;14.4;TP-20240906-062OWNP67247823 -172 032443-0091007624-6396-   
2040;CEAPC;;2024-11-09;1109202420240911-09.35.02.631608 -;VIR SEPA CETIP CETIP;133.76;TP-20240911-ISANTE -172032443-0000476776-6396-   
2041;CEAPC;;2024-11-09;1109202420240911-09.34.59.752589 -;VIR SEPA CETIP CETIP;69.25;TP-20240911-SPSANT -172032443-0000476776-6396-   
2048;CEAPC;;2024-11-09;1109202420240911-08.38.06.047115 -;CB PHARMAMERIQUES    100924;431.02;CB PHARMAMERIQUES    100924 CONTRAT 8413786     REM 142662   
2049;CEAPC;;2024-11-09;1109202420240911-08.38.06.035725 -;CB PHARMAMERIQUES    100924;538.32;CB PHARMAMERIQUES    100924 CONTRAT 8413786     REM 137834   
2050;CEAPC;;2024-11-09;1109202420240911-08.38.06.023498 -;CB PHARMAMERIQUES    100924;212.82;CB PHARMAMERIQUES    100924 CONTRAT 8413785     REM 144996   
2051;CEAPC;;2024-11-09;1109202420240911-08.38.06.010506 -;CB PHARMAMERIQUES    100924;71.89;CB PHARMAMERIQUES    100924 CONTRAT 8413785     REM 138948   
2052;CEAPC;;2024-11-09;1109202420240911-05.45.06.481738 -;VIR SEPA MUTUELLE VERTE;8.55;MUTUELLE VERTE PRESTATIONS : MVE RTE241439340T172032443   
2053;CEAPC;;2024-11-09;1109202420240911-05.44.50.639393 -;VIR SEPA ACTIL SAS;17.66;ACT:3749494/172032443-060924    
2054;CEAPC;;2024-11-09;1109202420240911-03.04.26.437768 -;VIR SEPA HARMONIE MUTUELLE;21.85;TP-20240909-HARMONIE MUTUELLE -172032443-609143-4287-   
2055;CEAPC;;2024-11-09;1109202420240911-03.04.20.412456 -;VIR SEPA C.P.A.M. TARBES;11.97;0000001720324432535601240910    
2056;CEAPC;;2024-11-09;1109202420240911-03.04.18.102523 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3246.59;0000001720324432538122240910    
2057;CEAPC;;2024-11-09;1109202420240911-03.04.11.177033 -;VIR SEPA C.P.A.M. BORDEAUX;3.17;0000001720324432530702240910    
2058;CEAPC;;2024-11-09;1109202420240911-03.04.06.500349 -;VIR SEPA C.P.A.M. PERIGUEUX;3.43;0000001720324432532621240910    
2059;CEAPC;;2024-11-09;1109202420240911-03.04.03.607815 -;VIR SEPA CPAM 75 PRESTATIONS;20.75;0000001720324432532201240910    
2060;CEAPC;;2024-11-09;1109202420240911-03.03.54.009823 -;VIR SEPA CPAM MAINE-ET-LOIRE;45.33;0000001720324432533720240910    
2061;CEAPC;;2024-11-09;1109202420240911-03.03.52.781163 -;VIR SEPA CPAM LA ROCHE S/YON VV;3.43;0000001720324432537140240910    
2062;CEAPC;;2024-11-09;1109202420240911-03.03.42.215668 -;VIR SEPA C.P.A.M. DE POITIERS;3.51;0000001720324432537681240910    
2063;CEAPC;;2024-11-09;1109202420240911-03.03.41.186150 -;VIR SEPA C.P.A.M. D ANGOULEME;7.78;0000001720324432531622240910    
2064;CEAPC;;2024-11-09;1109202420240911-03.03.04.813489 -;VIR SEPA MUTUTELLE FAMILIALES D;0.95;MFTGS    
2066;CEAPC;;2024-10-09;1009202420240910-16.20.36.055530 -;VIR SEPA MUTUELLE PREVIFRANCE P;22.08;ER01      172032443 0028458462    
2067;CEAPC;;2024-10-09;1009202420240910-13.18.17.023612 -;VIR SEPA MSA DES CHARENTES;3.06;2024090600000017203244 02171000    
2068;CEAPC;;2024-10-09;1009202420240910-10.45.41.478702 -;VIR SEPA CPAM DE L ALLIER;5.72;0000001720324432505641240909    
2069;CEAPC;;2024-10-09;1009202420240910-09.40.48.591777 -;VIR SEPA HENNER GMC;9.81;427119706/427082998 REMBOURSEMEN T DES FRAIS MEDICAUX   
2070;CEAPC;;2024-10-09;1009202420240910-09.40.42.962017 -;VIR SEPA CETIP CETIP;155.0;TP-20240910-SPSANT -172032443-0000476776-6396-   
2071;CEAPC;;2024-10-09;1009202420240910-09.40.41.045910 -;VIR SEPA CETIP CETIP;44.97;TP-20240910-ISANTE -172032443-0000476776-6396-   
2072;CEAPC;;2024-10-09;1009202420240910-09.40.36.730945 -;VIR SEPA MUTUELLE GENERALE EDUC;1.86;OW051P467124051OWLQ67175004FN11 OW05/09/24-1114/1114   
2073;CEAPC;;2024-10-09;1009202420240910-09.40.36.264316 -;VIR SEPA MUTUELLE GENERALE EDUC;7.96;OW017P467124017OWRQ67122058GT40 OW05/09/24-4013/4014   
2074;CEAPC;;2024-10-09;1009202420240910-09.40.36.196524 -;VIR SEPA MUTUELLE GENERALE EDUC;1.62;OW974P467124974OWRQ67169754KF93 OW05/09/24-9322/9322   
2075;CEAPC;;2024-10-09;1009202420240910-09.40.33.800000 -;VIR SEPA MUTUELLE GENERALE EDUC;3.43;TP-20240905-051OWNP67175451 -172 032443-0091007511-6396-   
2076;CEAPC;;2024-10-09;1009202420240910-09.40.32.957509 -;VIR SEPA MUTUELLE GENERALE EDUC;722.04;TP-20240905-017OWNP67122653 -172 032443-0091007171-6396-   
2077;CEAPC;;2024-10-09;1009202420240910-09.40.32.871066 -;VIR SEPA MUTUELLE GENERALE EDUC;3.0;TP-20240905-974OWNP67171003 -172 032443-0091007974-6396-   
2082;CEAPC;;2024-10-09;1009202420240910-08.43.49.796590 -;CB PHARMAMERIQUES    090924;445.94;CB PHARMAMERIQUES    090924 CONTRAT 8413786     REM 151327   
2083;CEAPC;;2024-10-09;1009202420240910-08.43.49.784311 -;CB PHARMAMERIQUES    090924;716.82;CB PHARMAMERIQUES    090924 CONTRAT 8413786     REM 147256   
2084;CEAPC;;2024-10-09;1009202420240910-08.43.49.771528 -;CB PHARMAMERIQUES    090924;60.06;CB PHARMAMERIQUES    090924 CONTRAT 8413785     REM 152411   
2085;CEAPC;;2024-10-09;1009202420240910-08.43.49.758414 -;CB PHARMAMERIQUES    090924;103.84;CB PHARMAMERIQUES    090924 CONTRAT 8413785     REM 148634   
2088;CEAPC;;2024-10-09;1009202420240910-03.07.14.095150 -;VIR SEPA CGSS REGLEMENTS;20.34;0000001720324432498581240906    
2089;CEAPC;;2024-10-09;1009202420240910-03.07.07.192753 -;VIR SEPA C.P.A.M. D ANGOULEME;2.27;0000001720324432501622240909    
2090;CEAPC;;2024-10-09;1009202420240910-03.07.03.435715 -;VIR SEPA C.P.A.M. TARBES;2.86;0000001720324432505601240909    
2091;CEAPC;;2024-10-09;1009202420240910-03.07.01.259226 -;VIR SEPA ALMERYS;37.4;TP-20240907-ALMERYS TP -172032443-0098532001-6396-   
2092;CEAPC;;2024-10-09;1009202420240910-03.07.00.958312 -;VIR SEPA PHARMAMERIQUES;5665.0;VIR DE PHARMAMERIQUES    
2093;CEAPC;;2024-10-09;1009202420240910-03.06.56.075409 -;VIR SEPA CPAM 93;3.43;0000001720324432501113240909    
2094;CEAPC;;2024-10-09;1009202420240910-03.06.54.658323 -;VIR SEPA CPAM DES YVELINES;8.08;0000001720324432507132240909    
2095;CEAPC;;2024-10-09;1009202420240910-03.06.47.729693 -;VIR SEPA CPAM R.E.D.76;2.71;0000001720324432504451240909    
2096;CEAPC;;2024-10-09;1009202420240910-03.06.45.877824 -;VIR SEPA C.P.A.M. BORDEAUX;2.83;0000001720324432500702240909    
2097;CEAPC;;2024-10-09;1009202420240910-03.06.43.950692 -;VIR SEPA C.P.A.M. DE LA ROCHELL;4591.94;0000001720324432508122240909    
2098;CEAPC;;2024-10-09;1009202420240910-03.06.40.457640 -;VIR SEPA C.P.A.M. DE POITIERS;22.72;0000001720324432507681240909    
2099;CEAPC;;2024-10-09;1009202420240910-03.06.37.934075 -;VIR SEPA CPAM LOIRE-ATL;29.35;0000001720324432491099240909    
2100;CEAPC;;2024-10-09;1009202420240910-03.06.34.047447 -;VIR SEPA CPAM LA ROCHE S/YON VV;4.52;0000001720324432507140240909    
2101;CEAPC;;2024-10-09;1009202420240910-03.06.21.233248 -;VIR SEPA ALMERYS;105.66;TP-20240909-ALMERYS TP -172032443-0098532001-6396-   
2102;CEAPC;;2024-10-09;1009202420240910-03.06.20.921023 -;VIR SEPA CARTE BLANCHE TP;4.97;TP-20240907-CARTE BLANCHE -172032443-0098532203-6396-   
2103;CEAPC;;2024-10-09;1009202420240910-03.06.18.188575 -;VIR SEPA C.P.A.M. DE NIORT;10.5;0000001720324432501599240909    
2104;CEAPC;;2024-10-09;1009202420240910-03.06.08.958775 -;VIR SEPA HARMONIE MUTUELLE;14.83;TP-20240906-HARMONIE MUTUELLE -172032443-609143-4287-   
2108;CEAPC;;2024-09-09;0909202420240909-18.17.18.345191 -;VIR SEPA KORELIO PRESTATIONS;35.13;FRAIS MEDICAUX LOT NUMERO:536    
2109;CEAPC;;2024-09-09;0909202420240909-18.17.17.729659 -;VIR SEPA KORELIO PRESTATIONS;6.69;FRAIS MEDICAUX LOT NUMERO:295    
2110;CEAPC;;2024-09-09;0909202420240909-16.17.08.295240 -;VIR SEPA MNT SANTE PRESTATION R;16.09;0142045423 Prestations Sante   1 72032443   
2111;CEAPC;;2024-09-09;0909202420240909-16.17.07.879872 -;VIR SEPA MNT SANTE PRESTATION R;5.94;0142045422 Prestations Sante   1 72032443   
2112;CEAPC;;2024-09-09;0909202420240909-16.17.06.059299 -;VIR SEPA MNT SANTE PRESTATION R;13.35;0142045424 Prestations Sante   1 72032443   
2113;CEAPC;;2024-09-09;0909202420240909-13.22.10.127939 -;VIR SEPA MUTUELLE GENERALE EDUC;1.86;OW082P467024082OWRQ67060891DB96 OW04/09/24-9666/9666   
2114;CEAPC;;2024-09-09;0909202420240909-13.22.06.713576 -;VIR SEPA MUTUELLE GENERALE EDUC;86.18;OW017P467024017OWRQ67026059GT35 OW04/09/24-3554/3578   
2115;CEAPC;;2024-09-09;0909202420240909-13.22.03.541111 -;VIR SEPA VIAMEDIS;75.05;TP-20240903-VIREMENT 5354635 -172032443-0075990010-6396-   
2116;CEAPC;;2024-09-09;0909202420240909-13.22.01.083644 -;VIR SEPA MUTUELLE GENERALE EDUC;53.27;TP-20240904-017OWNP67026735 -172 032443-0091007171-6396-   
2117;CEAPC;;2024-09-09;0909202420240909-13.22.00.884190 -;VIR SEPA MUTUELLE GENERALE EDUC;3.43;TP-20240904-082OWNP67061168 -172 032443-0091007821-6396-   
2118;CEAPC;;2024-09-09;0909202420240909-13.21.19.371604 -;VIR SEPA HM;4.95;HM    
2119;CEAPC;;2024-09-09;0909202420240909-10.45.43.640853 -;VIR SEPA 00001003120 - ENIM AC;1.44;0000001720324432492110240906    
2120;CEAPC;;2024-09-09;0909202420240909-10.45.38.505190 -;VIR SEPA CPAM DU BAS-RHIN - STR;20.79;0000001720324432496610240906    
2121;CEAPC;;2024-09-09;0909202420240909-10.45.38.271807 -;VIR SEPA C.P.A.M. TROYES;6.29;0000001720324432497030240906    
2122;CEAPC;;2024-09-09;0909202420240909-09.35.47.864945 -;VIR SEPA CETIP CETIP;135.09;TP-20240909-SPSANT -172032443-0000476776-6396-   
2123;CEAPC;;2024-09-09;0909202420240909-09.35.46.915768 -;VIR SEPA CETIP CETIP;93.46;TP-20240909-ISANTE -172032443-0000476776-6396-   
2127;CEAPC;;2024-09-09;0909202420240909-08.40.55.637321 -;CB PHARMAMERIQUES    070924;105.3;CB PHARMAMERIQUES    070924 CONTRAT 8413786     REM 115184   
2128;CEAPC;;2024-09-09;0909202420240909-08.40.55.626453 -;CB PHARMAMERIQUES    070924;106.2;CB PHARMAMERIQUES    070924 CONTRAT 8413786     REM 110645   
2129;CEAPC;;2024-09-09;0909202420240909-08.40.55.614100 -;CB PHARMAMERIQUES    070924;15.2;CB PHARMAMERIQUES    070924 CONTRAT 8413785     REM 111358   
2130;CEAPC;;2024-09-09;0909202420240909-05.44.45.686812 -;VIR SEPA ACTIL SAS;7.4;ACT:3719209/172032443-040924    
2133;CEAPC;;2024-09-09;0909202420240909-01.59.23.926338 -;VIR SEPA CRPCEN M;2.45;0000001720324432492111240906    
2134;CEAPC;;2024-09-09;0909202420240909-01.59.21.509879 -;VIR SEPA CAMIEG;26.6;0000001720324432490031240906    
2135;CEAPC;;2024-09-09;0909202420240909-01.59.16.843896 -;VIR SEPA CPAM 75 PRESTATIONS;11.51;0000001720324432492201240906    
2136;CEAPC;;2024-09-09;0909202420240909-01.59.14.097248 -;VIR SEPA CPAM DES YVELINES;9.57;0000001720324432497132240906    
2137;CEAPC;;2024-09-09;0909202420240909-01.59.11.652405 -;VIR SEPA CPAM DU VAL D OISE;44.34;0000001720324432498500240906    
2138;CEAPC;;2024-09-09;0909202420240909-01.58.16.519936 -;VIR SEPA C.P.A.M. DE BAYONNE;3.43;0000001720324432495811240906    
2139;CEAPC;;2024-09-09;0909202420240909-01.58.09.988839 -;VIR SEPA C.P.A.M. TOULOUSE;17.02;0000001720324432492752240906    
2140;CEAPC;;2024-09-09;0909202420240909-01.58.07.016728 -;VIR SEPA C.P.A.M. DE POITIERS;20.62;0000001720324432497681240906    
2141;CEAPC;;2024-09-09;0909202420240909-01.57.58.980655 -;VIR SEPA C.P.A.M. FOIX;85.94;0000001720324432491023240906    
2142;CEAPC;;2024-09-09;0909202420240909-01.57.56.845928 -;VIR SEPA CPAM R.E.D.76;16.83;0000001720324432494451240906    
2143;CEAPC;;2024-09-09;0909202420240909-01.57.55.852852 -;VIR SEPA CPAM LA ROCHE S/YON VV;54.33;0000001720324432497140240906    
2144;CEAPC;;2024-09-09;0909202420240909-01.57.44.493939 -;VIR SEPA C.P.A.M. DE NIORT;37.83;0000001720324432491599240906    
2145;CEAPC;;2024-09-09;0909202420240909-01.57.34.946587 -;VIR SEPA C.P.A.M. BORDEAUX;16.18;0000001720324432490702240906    
2146;CEAPC;;2024-09-09;0909202420240909-01.57.34.497983 -;VIR SEPA HARMONIE MUTUELLE;41.29;TP-20240905-HARMONIE MUTUELLE -172032443-609143-4287-   
2147;CEAPC;;2024-09-09;0909202420240909-01.57.32.555275 -;VIR SEPA ALMERYS;127.1;TP-20240906-ALMERYS TP -172032443-0098532001-6396-   
2148;CEAPC;;2024-09-09;0909202420240909-01.57.28.606720 -;VIR SEPA MUTUELLE DOUEST FRANCE;4.71;MUTUELLE D'OUEST FRANCE    
2149;CEAPC;;2024-09-09;0909202420240909-01.57.28.001027 -;VIR SEPA C.P.A.M. PAU;11.55;0000001720324432496831240906    
2150;CEAPC;;2024-09-09;0909202420240909-01.57.27.849415 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1444.68;0000001720324432498122240906    
2151;CEAPC;;2024-09-09;0909202420240909-01.56.42.377131 -;VIR SEPA CAISSE PREVOYANCE ET R;22.49;CP MANDAT 20240903          1720 3244   
2152;CEAPC;;2024-09-09;0909202420240909-01.56.36.327527 -;VIR SEPA DDFIP DU VAR;9.52;0000001720324432472106240904    
2157;CEAPC;;2024-07-09;0709202420240907-08.36.15.277661 -;CB PHARMAMERIQUES    060924;261.38;CB PHARMAMERIQUES    060924 CONTRAT 8413786     REM 108148   
2158;CEAPC;;2024-07-09;0709202420240907-08.36.15.265699 -;CB PHARMAMERIQUES    060924;559.68;CB PHARMAMERIQUES    060924 CONTRAT 8413786     REM 103263   
2159;CEAPC;;2024-07-09;0709202420240907-08.36.15.252274 -;CB PHARMAMERIQUES    060924;119.57;CB PHARMAMERIQUES    060924 CONTRAT 8413785     REM 111468   
2160;CEAPC;;2024-07-09;0709202420240907-08.36.15.235620 -;CB PHARMAMERIQUES    060924;63.88;CB PHARMAMERIQUES    060924 CONTRAT 8413785     REM 105235   
2163;CEAPC;;2024-06-09;0609202420240906-18.21.38.984738 -;VIR SEPA KORELIO PRESTATIONS;8.89;FRAIS MEDICAUX LOT NUMERO:810    
2164;CEAPC;;2024-06-09;0609202420240906-13.15.16.217995 -;VIR SEPA VIAMEDIS;2.3;TP-20240902-VIREMENT 5313136 -172032443-0075990010-6396-   
2165;CEAPC;;2024-06-09;0609202420240906-13.14.54.774557 -;VIR SEPA KORELIO PRESTATIONS;39.24;FRAIS MEDICAUX LOT NUMERO:565    
2167;CEAPC;;2024-06-09;0609202420240906-10.50.52.036849 -;VIR SEPA CPAM RHONE;11.64;0000001720324432484540240905    
2168;CEAPC;;2024-06-09;0609202420240906-10.50.47.369565 -;VIR SEPA INTERIALE - GESTION RO;13.15;0000001720324432486121240905    
2169;CEAPC;;2024-06-09;0609202420240906-10.50.45.405395 -;VIR SEPA C.P.A.M. HAUT-RHIN;13.15;0000001720324432488191240905    
2170;CEAPC;;2024-06-09;0609202420240906-10.50.45.260785 -;VIR SEPA CPAM DE LA HAUTE LOIRE;4.2;0000001720324432487581240905    
2171;CEAPC;;2024-06-09;0609202420240906-10.50.44.552236 -;VIR SEPA C.P.A.M. BLOIS;30.23;0000001720324432485051240905    
2172;CEAPC;;2024-06-09;0609202420240906-10.50.43.192301 -;VIR SEPA CPAM DE LILLE-DOUAI CF;26.35;0000001720324432485621240905    
2173;CEAPC;;2024-06-09;0609202420240906-09.39.46.084867 -;VIR SEPA MESE;6.37;MESE    
2174;CEAPC;;2024-06-09;0609202420240906-09.39.44.431983 -;VIR SEPA HENNER GMC;48.2;426821782 REMBOURSEMENT DES FRAI S MEDICAUX   
2175;CEAPC;;2024-06-09;0609202420240906-09.39.43.153156 -;VIR SEPA MUTUELLE GENERALE EDUC;20.26;OW017P466924017OWRQ66921428GT30 OW03/09/24-3027/3034   
2176;CEAPC;;2024-06-09;0609202420240906-09.39.41.544763 -;VIR SEPA MUTUELLE GENERALE EDUC;3.43;TP-20240903-086OWNP66938447 -172 032443-0091007861-6396-   
2177;CEAPC;;2024-06-09;0609202420240906-09.39.41.421733 -;VIR SEPA MUTUELLE GENERALE EDUC;10.03;OW094P466924094OWLQ66951995JR50 OW03/09/24-5044/5045   
2178;CEAPC;;2024-06-09;0609202420240906-09.39.41.407660 -;VIR SEPA MUTUELLE GENERALE EDUC;70.71;TP-20240903-017OWNP66922032 -172 032443-0091007171-6396-   
2179;CEAPC;;2024-06-09;0609202420240906-09.39.39.131975 -;VIR SEPA MUTUELLE GENERALE EDUC;47.1;TP-20240903-036OWNP66953439 -172 032443-0091007361-6396-   
2180;CEAPC;;2024-06-09;0609202420240906-09.39.35.997085 -;VIR SEPA MUTUELLE GENERALE EDUC;10.2;TP-20240903-079OWNP66928738 -172 032443-0091007791-6396-   
2181;CEAPC;;2024-06-09;0609202420240906-09.39.35.632032 -;VIR SEPA MUTUELLE GENERALE EDUC;18.61;TP-20240903-094OWNP66953213 -172 032443-0091007941-6396-   
2182;CEAPC;;2024-06-09;0609202420240906-09.39.34.900146 -;VIR SEPA MUTUELLE GENERALE EDUC;3.43;TP-20240903-044OWNP66965627 -172 032443-0091007441-6396-   
2183;CEAPC;;2024-06-09;0609202420240906-09.39.19.906696 -;VIR SEPA CETIP CETIP;1.67;TP-20240906-ISANTE -172032443-0000476776-6396-   
2184;CEAPC;;2024-06-09;0609202420240906-09.39.19.001150 -;VIR SEPA CETIP CETIP;17.32;TP-20240906-SPSANT -172032443-0000476776-6396-   
2189;CEAPC;;2024-06-09;0609202420240906-08.37.09.432980 -;CB PHARMAMERIQUES    050924;415.48;CB PHARMAMERIQUES    050924 CONTRAT 8413786     REM 101029   
2190;CEAPC;;2024-06-09;0609202420240906-08.37.09.421443 -;CB PHARMAMERIQUES    050924;561.48;CB PHARMAMERIQUES    050924 CONTRAT 8413786     REM 197601   
2191;CEAPC;;2024-06-09;0609202420240906-08.37.09.409642 -;CB PHARMAMERIQUES    050924;17.26;CB PHARMAMERIQUES    050924 CONTRAT 8413785     REM 103075   
2192;CEAPC;;2024-06-09;0609202420240906-08.37.09.396467 -;CB PHARMAMERIQUES    050924;52.3;CB PHARMAMERIQUES    050924 CONTRAT 8413785     REM 195863   
2193;CEAPC;;2024-06-09;0609202420240906-05.53.04.645498 -;VIR SEPA MME NICOLE QUEYROI;105.29;RELEVE PHARMACIE QUEYROI N    
2194;CEAPC;;2024-06-09;0609202420240906-05.52.58.669413 -;VIR SEPA ACTIL SAS;13.64;ACT:3691933/172032443-030924    
2196;CEAPC;;2024-06-09;0609202420240906-03.06.12.286428 -;VIR SEPA C.P.A.M. D ANGOULEME;8.15;0000001720324432481622240905    
2197;CEAPC;;2024-06-09;0609202420240906-03.06.04.584311 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1657.04;0000001720324432488122240905    
2198;CEAPC;;2024-06-09;0609202420240906-03.06.02.807405 -;VIR SEPA C.P.A.M. DE TULLE;21.2;0000001720324432482341240905    
2199;CEAPC;;2024-06-09;0609202420240906-03.06.01.020556 -;VIR SEPA ALMERYS;84.26;TP-20240905-ALMERYS TP -172032443-0098532001-6396-   
2200;CEAPC;;2024-06-09;0609202420240906-03.05.59.350936 -;VIR SEPA C.P.A.M. PERIGUEUX;7.32;0000001720324432482621240905    
2201;CEAPC;;2024-06-09;0609202420240906-03.05.57.611115 -;VIR SEPA C.P.A.M. DE BAYONNE;27.35;0000001720324432485811240905    
2202;CEAPC;;2024-06-09;0609202420240906-03.05.54.425011 -;VIR SEPA CPAM 77;13.9;0000001720324432480011240905    
2203;CEAPC;;2024-06-09;0609202420240906-03.05.53.591278 -;VIR SEPA CPAM LA ROCHE S/YON VV;12.28;0000001720324432487140240905    
2204;CEAPC;;2024-06-09;0609202420240906-03.05.28.888081 -;VIR SEPA HARMONIE MUTUELLE;33.27;TP-20240904-HARMONIE MUTUELLE -172032443-609143-4287-   
2205;CEAPC;;2024-06-09;0609202420240906-03.05.17.131397 -;VIR SEPA CARTE BLANCHE TP;8.73;TP-20240905-CARTE BLANCHE -172032443-0098532203-6396-   
2207;CEAPC;;2024-05-09;0509202420240905-16.16.19.006025 -;VIR SEPA MSA DES CHARENTES OPER;6.87;TP-20240903-MSA DES CHARENTES OP -172032443-0000120936-6396-00027 7453             REMB. ADOUANE -MADJID   - 
2208;CEAPC;;2024-05-09;0509202420240905-13.22.58.282691 -;VIR SEPA VIAMEDIS;25.23;TP-20240830-VIREMENT 5277766 -172032443-0075990010-6396-   
2209;CEAPC;;2024-05-09;0509202420240905-13.22.27.192845 -;VIR SEPA DOLENZ Daniele;50.5;REL 02.09.2024 DOLENZ-PHARMACIE 04+   
2210;CEAPC;;2024-05-09;0509202420240905-13.22.25.255847 -;VIR SEPA DOLENZ Daniele;56.6;T.202806.203575.203576 08.2024 D OLE   
2211;CEAPC;;2024-05-09;0509202420240905-13.22.21.541904 -;VIR SEPA PHARMACIE DES AMERIQUE;128.39;    
2212;CEAPC;;2024-05-09;0509202420240905-13.22.17.715327 -;VIR SEPA HM;4.78;HM    
2213;CEAPC;;2024-05-09;0509202420240905-10.49.40.288366 -;VIR SEPA CPAM DE L ALLIER;43.92;0000001720324432475641240904    
2214;CEAPC;;2024-05-09;0509202420240905-10.49.40.183885 -;VIR SEPA C.P.A.M. DE L ISERE;14.09;0000001720324432471751240904    
2215;CEAPC;;2024-05-09;0509202420240905-10.49.35.646765 -;VIR SEPA C.P.A.M. TOURS;25.89;0000001720324432472011240904    
2216;CEAPC;;2024-05-09;0509202420240905-10.49.33.876003 -;VIR SEPA C.P.A.M. VANNES;7.11;0000001720324432472411240904    
2217;CEAPC;;2024-05-09;0509202420240905-10.49.33.357897 -;VIR SEPA CPAM CLERMONT-FERRAND;13.15;0000001720324432476091240904    
2218;CEAPC;;2024-05-09;0509202420240905-09.36.47.170066 -;VIR SEPA CETIP CETIP;91.46;TP-20240905-ISANTE -172032443-0000476776-6396-   
2219;CEAPC;;2024-05-09;0509202420240905-09.36.43.399282 -;VIR SEPA CETIP CETIP;52.23;TP-20240905-SPSANT -172032443-0000476776-6396-   
2220;CEAPC;;2024-05-09;0509202420240905-09.36.34.825028 -;VIR SEPA MUTUELLE GENERALE EDUC;14.12;TP-20240902-094OWNP66854724 -172 032443-0091007941-6396-   
2221;CEAPC;;2024-05-09;0509202420240905-09.36.31.024893 -;VIR SEPA MUTUELLE GENERALE EDUC;70.9;TP-20240902-017OWNP66821866 -172 032443-0091007171-6396-   
2222;CEAPC;;2024-05-09;0509202420240905-09.36.30.918327 -;VIR SEPA MUTUELLE GENERALE EDUC;35.49;OW017P466824017OWRQ66821226GT22 OW02/09/24-2024/2255   
2228;CEAPC;;2024-05-09;0509202420240905-08.40.14.547226 -;CB PHARMAMERIQUES    040924;265.23;CB PHARMAMERIQUES    040924 CONTRAT 8413786     REM 195719   
2229;CEAPC;;2024-05-09;0509202420240905-08.40.14.534766 -;CB PHARMAMERIQUES    040924;638.81;CB PHARMAMERIQUES    040924 CONTRAT 8413786     REM 193449   
2230;CEAPC;;2024-05-09;0509202420240905-08.40.14.522522 -;CB PHARMAMERIQUES    040924;11.4;CB PHARMAMERIQUES    040924 CONTRAT 8413785     REM 193289   
2231;CEAPC;;2024-05-09;0509202420240905-05.51.17.559398 -;VIR SEPA M JACQUES VEDRENNE;35.8;Facture 276 342 du 24 aout    
2232;CEAPC;;2024-05-09;0509202420240905-03.09.03.603986 -;VIR SEPA CPAM 77;11.05;0000001720324432470011240904    
2233;CEAPC;;2024-05-09;0509202420240905-03.09.02.775936 -;VIR SEPA CPAM HAUTS DE SEINE SE;41.71;0000001720324432479201240904    
2234;CEAPC;;2024-05-09;0509202420240905-03.09.02.703575 -;VIR SEPA CPAM 75 PRESTATIONS;67.17;0000001720324432472201240904    
2235;CEAPC;;2024-05-09;0509202420240905-03.07.38.777467 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2594.08;0000001720324432478122240904    
2236;CEAPC;;2024-05-09;0509202420240905-03.04.49.115809 -;VIR SEPA ALMERYS;139.71;TP-20240904-ALMERYS TP -172032443-0098532001-6396-   
2237;CEAPC;;2024-05-09;0509202420240905-03.04.49.022361 -;VIR SEPA CPAM LA ROCHE S/YON VV;59.07;0000001720324432477140240904    
2238;CEAPC;;2024-05-09;0509202420240905-03.04.43.633934 -;VIR SEPA C.P.A.M.LAVAL;14.16;0000001720324432475300240904    
